from,to,day_of_week,count
2585975,2585466,Friday,91
2586018,2586024,Friday,91
44581598,2585281,Friday,91
2585289,2585285,Friday,90
2585289,4215025,Friday,90
2585291,2585307,Friday,90
2585297,2585291,Friday,90
2585425,2585378,Friday,90
2585457,52488396,Friday,90
2585466,2586005,Friday,90
2585837,2585787,Friday,90
2585873,2585281,Friday,90
2585905,2585883,Friday,90
2585929,2585956,Friday,90
2585956,2585987,Friday,90
2586001,2586022,Friday,90
2681601,2585285,Friday,90
2681601,2585326,Friday,90
4393742,2586005,Friday,90
2585263,2585281,Friday,89
2585280,2585853,Friday,89
2585285,2681601,Friday,89
2585288,2585286,Friday,89
2585311,2585307,Friday,89
2585782,2585772,Friday,89
2585800,2585799,Friday,89
2585883,2585885,Friday,89
2585901,2585905,Friday,89
2585956,2585311,Friday,89
2681601,2585283,Friday,89
4393742,2585289,Friday,89
4393742,2585327,Friday,89
44583483,2585267,Friday,89
2585269,2585346,Friday,88
2585284,2585285,Friday,88
2585317,2585389,Friday,88
2585358,2681672,Friday,88
2585430,2585379,Friday,88
2585747,4393742,Friday,88
2585802,2585800,Friday,88
2585987,2585956,Friday,88
2586011,3110680,Friday,88
2681601,2585297,Friday,88
3318682,2585785,Friday,88
4393742,2585419,Friday,88
172293631,2585876,Friday,88
2585263,2585271,Friday,87
2585286,2585307,Friday,87
2585304,44581598,Friday,87
2585308,2585305,Friday,87
2585346,2585345,Friday,87
2585450,2585699,Friday,87
2585724,2585467,Friday,87
2585771,2585824,Friday,87
2585860,2585811,Friday,87
2585954,2585466,Friday,87
2586000,2585997,Friday,87
2586003,2586021,Friday,87
2586022,4393742,Friday,87
2681601,2585352,Friday,87
2681672,2585931,Friday,87
2585285,2585289,Friday,86
2585285,2585297,Friday,86
2585304,2585313,Friday,86
2585387,2585346,Friday,86
2585747,2585699,Friday,86
2585762,2585728,Friday,86
2585850,2585844,Friday,86
2585906,2585860,Friday,86
2585916,2585464,Friday,86
2585916,2585905,Friday,86
2585922,2585926,Friday,86
2585992,2586034,Friday,86
2586005,2586011,Friday,86
2681601,2585319,Friday,86
2585275,2585267,Friday,85
2585305,2585306,Friday,85
2585368,2585398,Friday,85
2585445,2585422,Friday,85
2585450,2585708,Friday,85
2585748,2585978,Friday,85
2585888,2585883,Friday,85
2585931,2585313,Friday,85
2585961,2585939,Friday,85
2586021,2586026,Friday,85
2585306,2585308,Friday,84
2585327,2585431,Friday,84
2585346,2585315,Friday,84
2585360,2585387,Friday,84
2585450,4393742,Friday,84
2585716,2585774,Friday,84
2585776,2585728,Friday,84
2585883,2585888,Friday,84
2585911,2585924,Friday,84
2585995,2585994,Friday,84
2586011,2586009,Friday,84
4585378,2585794,Friday,84
52488396,2585317,Friday,84
2585408,2585398,Friday,83
2585714,2585774,Friday,83
2585789,2585800,Friday,83
2586034,2585825,Friday,83
2586037,2586042,Friday,83
2585367,2585405,Friday,82
2585378,2585425,Friday,82
2585699,2585747,Friday,82
2585708,2585450,Friday,82
2585779,2585789,Friday,82
2585789,2585788,Friday,82
2585908,2585905,Friday,82
2585913,2585906,Friday,82
2585997,2586000,Friday,82
2586044,2586021,Friday,82
4393742,2585921,Friday,82
2585281,44581598,Friday,81
2585285,2585284,Friday,81
2585466,2585954,Friday,81
2585771,2585762,Friday,81
2585785,4585378,Friday,81
2585837,2585794,Friday,81
2585838,2585800,Friday,81
2585885,2585883,Friday,81
2585317,2585408,Friday,80
2585319,2681601,Friday,80
2585776,2585772,Friday,80
2585785,3318682,Friday,80
2585802,2585748,Friday,80
2585835,2585839,Friday,80
2585284,2585278,Friday,79
2585285,2585291,Friday,79
2585301,2585281,Friday,79
2585313,2585931,Friday,79
2585398,2585368,Friday,79
2585464,2585916,Friday,79
2585708,2585747,Friday,79
2585728,2585788,Friday,79
2585839,2585835,Friday,79
2585873,2585273,Friday,79
2585931,2681672,Friday,79
2585997,2585996,Friday,79
2586026,2585373,Friday,79
2585286,2585285,Friday,78
2585417,2585381,Friday,78
2585432,2585839,Friday,78
2585762,2585317,Friday,78
2585771,2585781,Friday,78
2585781,2585762,Friday,78
2585781,2585771,Friday,78
2585814,2585808,Friday,78
2585837,2585799,Friday,78
2585913,2585883,Friday,78
2585934,2585476,Friday,78
2586005,4393742,Friday,78
2586024,2586022,Friday,78
2586037,2586022,Friday,78
2585288,2585307,Friday,77
2585307,2585286,Friday,77
2585326,2585311,Friday,77
2585722,2585467,Friday,77
2585742,2585345,Friday,77
2585800,2585838,Friday,77
2585821,2585814,Friday,77
2585860,2585856,Friday,77
3110680,2586021,Friday,77
2585281,2585301,Friday,76
